YPL060C-A
YGR296W
YJR112W-A
YPR202W
YJL225C
YIL009C-A
Q0070
Q0075
YHL050C
YNL054W-B
YPL283C
YPL052W
Q0105
Q0255
Q0060
YIL177C
YOR239W
Q0045
YNL339C
